$ /Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/control2_fixed_ensemble.py --panel /Users/jonathanchang/.claude/jobs/fc17658e/tmp/set2_core7 --seed 44 --out-dir /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/results_controls/control2/set2_core7_seed44 --exclude-features RET_CS,RET_CS_Z,RET_CS5 --config {"cell": "rnn", "hidden": 8, "lr": 0.001}
# realized: sidecar (RET_raw (sidecar)), trained on RET_CS; panel header (10) ['RET', 'RET_CS_IN', 'BA_SPREAD', 'ILLIQUIDITY', 'REV21_1', 'TURN_RATIO', 'VOL21', 'RET_CS', 'RET_CS_Z', 'RET_CS5']
# model inputs (7): ['RET', 'RET_CS_IN', 'BA_SPREAD', 'ILLIQUIDITY', 'REV21_1', 'TURN_RATIO', 'VOL21']  [excluded: RET_CS, RET_CS5, RET_CS_Z]
# 8 identical members, arch {"cell": "rnn", "hidden": 8, "lr": 0.001, "rec_density": 1.0}, seeds [44000, 44001, 44002, 44003, 44004, 44005, 44006, 44007]
# warmup wake 1/1009 (2004-12-17)  0s
# warmup wake 101/1009 (2006-12-12)  64s
# warmup wake 201/1009 (2008-12-08)  126s
# warmup wake 301/1009 (2010-12-02)  205s
# warmup wake 401/1009 (2012-11-28)  275s
# warmup wake 501/1009 (2014-11-21)  341s
# warmup wake 601/1009 (2016-11-16)  408s
# warmup wake 701/1009 (2018-11-12)  467s
# scored wake 761/1009 (2020-01-24) champion=m5  507s
# scored wake 781/1009 (2020-06-17) champion=m0  525s
# scored wake 801/1009 (2020-11-06) champion=m1  541s
# scored wake 821/1009 (2021-04-05) champion=m5  559s
# scored wake 841/1009 (2021-08-25) champion=m1  578s
# scored wake 861/1009 (2022-01-18) champion=m0  600s
# scored wake 881/1009 (2022-06-10) champion=m4  618s
# scored wake 901/1009 (2022-11-02) champion=m6  635s
# scored wake 921/1009 (2023-03-29) champion=m2  655s
# scored wake 941/1009 (2023-08-22) champion=m1  673s
# scored wake 961/1009 (2024-01-16) champion=m2  692s
# scored wake 981/1009 (2024-06-07) champion=m5  712s
# scored wake 1001/1009 (2024-10-30) champion=m2  731s
# control2_fixed_ensemble/single
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  -0.0015   +0.0005   +0.0138   +0.0044    -32.69    -1.35    40.01   1.5437    20.11
2020      naive    253  -0.0196   -0.0245   -0.0332   -0.0410    -87.00    -2.36    89.53   1.0771    13.49
2021      model    252  +0.0078   +0.0142   +0.0260   +0.0363    -14.28    -0.95    25.00   1.5323    17.50
2021      naive    252  -0.0320   -0.0428   -0.0149   -0.0194    -29.20    -1.48    35.51   1.2437    13.98
2022      model    251  +0.0215   +0.0174   +0.0253   +0.0264     +4.73    +0.29    13.26   1.5842    15.59
2022      naive    251  -0.0114   -0.0147   -0.0220   -0.0262     -9.21    -0.42    28.75   0.8953     8.52
2023      model    250  +0.0056   +0.0076   +0.0060   +0.0062    -13.71    -0.97    15.97   1.5047    11.94
2023      naive    250  -0.0197   -0.0168   -0.0191   -0.0127    -17.36    -1.02    20.12   1.1120     8.86
2024      model    252  +0.0349   +0.0382   +0.0354   +0.0298    +15.18    +1.27     9.83   1.5306    13.79
2024      naive    252  -0.0355   -0.0294   -0.0121   -0.0210    -54.57    -3.45    57.70   1.1845    10.45
overall   model   1258  +0.0137   +0.0156   +0.0212   +0.0206    -40.77    -0.48    60.47   1.5391    78.93
overall   naive   1258  -0.0237   -0.0256   -0.0203   -0.0241   -197.34    -1.68   179.63   1.1026    55.30
# model overall: pearson IC +0.0137 (SE 0.0055, t +2.49); rank IC +0.0156 (SE 0.0053, t +2.94); rebalances 1253, avg holding 1.0 days
# naive overall: pearson IC -0.0237 (SE 0.0073, t -3.24); rank IC -0.0256 (SE 0.0069, t -3.73); rebalances 876, avg holding 1.4 days
# rank IC by horizon (model): h=1:+0.0156  h=2:+0.0176  h=3:+0.0208  h=4:+0.0209  h=5:+0.0212  h=6:+0.0233  h=7:+0.0240  h=8:+0.0230  h=9:+0.0222  h=10:+0.0206
# rank IC by horizon (naive): h=1:-0.0256  h=2:-0.0201  h=3:-0.0195  h=4:-0.0208  h=5:-0.0203  h=6:-0.0254  h=7:-0.0232  h=8:-0.0237  h=9:-0.0243  h=10:-0.0241
# control2_fixed_ensemble/ensemble
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0173   +0.0175   +0.0279   +0.0210     -4.51    -0.15    35.00   1.5273    19.98
2020      naive    253  -0.0196   -0.0245   -0.0332   -0.0410    -87.00    -2.36    89.53   1.0771    13.49
2021      model    252  +0.0287   +0.0317   +0.0288   +0.0409    +16.54    +0.98    15.41   1.5386    17.50
2021      naive    252  -0.0320   -0.0428   -0.0149   -0.0194    -29.20    -1.48    35.51   1.2437    13.98
