$ /Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/control1_random.py --panel /Users/jonathanchang/.claude/jobs/fc17658e/tmp/set2_v2 --seed 43 --out-dir /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/results_controls/control1/set2_v2_seed43
# realized: sidecar (RET_raw (sidecar)), trained on RET_CS; 8 features ['RET', 'VOL_CHANGE', 'BA_SPREAD', 'ILLIQUIDITY', 'sprtrn', 'TURNOVER', 'RET_CS', 'RET_CS_Z']
# member 0: {'cell': 'gru', 'hidden': 12, 'rec_density': 0.75, 'lr': 0.003, 'seed': 43000, 'n_params': 805}
# member 1: {'cell': 'rnn', 'hidden': 11, 'rec_density': 1.0, 'lr': 0.003, 'seed': 43001, 'n_params': 243}
# member 2: {'cell': 'rnn', 'hidden': 14, 'rec_density': 0.75, 'lr': 0.003, 'seed': 43002, 'n_params': 351}
# member 3: {'cell': 'gru', 'hidden': 16, 'rec_density': 1.0, 'lr': 0.003, 'seed': 43003, 'n_params': 1265}
# member 4: {'cell': 'gru', 'hidden': 13, 'rec_density': 0.75, 'lr': 0.003, 'seed': 43004, 'n_params': 911}
# member 5: {'cell': 'rnn', 'hidden': 7, 'rec_density': 0.75, 'lr': 0.003, 'seed': 43005, 'n_params': 127}
# member 6: {'cell': 'gru', 'hidden': 9, 'rec_density': 1.0, 'lr': 0.003, 'seed': 43006, 'n_params': 523}
# member 7: {'cell': 'gru', 'hidden': 9, 'rec_density': 0.5, 'lr': 0.003, 'seed': 43007, 'n_params': 523}
# warmup wake 1/1009 (2004-12-17)  0s
# warmup wake 101/1009 (2006-12-12)  74s
# warmup wake 201/1009 (2008-12-08)  165s
# warmup wake 301/1009 (2010-12-02)  244s
# warmup wake 401/1009 (2012-11-28)  323s
# warmup wake 501/1009 (2014-11-21)  402s
# warmup wake 601/1009 (2016-11-16)  480s
# warmup wake 701/1009 (2018-11-12)  557s
# scored wake 761/1009 (2020-01-24) champion=m1  614s
# scored wake 781/1009 (2020-06-17) champion=m1  635s
# scored wake 801/1009 (2020-11-06) champion=m4  655s
# scored wake 821/1009 (2021-04-05) champion=m7  676s
# scored wake 841/1009 (2021-08-25) champion=m1  696s
# scored wake 861/1009 (2022-01-18) champion=m4  716s
# scored wake 881/1009 (2022-06-10) champion=m2  736s
# scored wake 901/1009 (2022-11-02) champion=m1  759s
# scored wake 921/1009 (2023-03-29) champion=m7  786s
# scored wake 941/1009 (2023-08-22) champion=m7  813s
# scored wake 961/1009 (2024-01-16) champion=m4  838s
# scored wake 981/1009 (2024-06-07) champion=m2  862s
# scored wake 1001/1009 (2024-10-30) champion=m4  887s
# control1_random_arch/single
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0301   +0.0223   +0.0244   +0.0162    +43.67    +1.74    10.23   1.3003    17.10
2020      naive    253  -0.0196   -0.0245   -0.0332   -0.0410    -87.00    -2.36    89.53   1.0771    13.49
2021      model    252  +0.0233   +0.0233   +0.0037   +0.0130     -0.49    -0.03    21.11   1.3982    15.88
2021      naive    252  -0.0320   -0.0428   -0.0149   -0.0194    -29.20    -1.48    35.51   1.2437    13.98
2022      model    251  +0.0214   +0.0207   +0.0274   +0.0105     -2.41    -0.15    17.27   1.3920    14.20
2022      naive    251  -0.0114   -0.0147   -0.0220   -0.0262     -9.21    -0.42    28.75   0.8953     8.52
2023      model    250  +0.0045   +0.0049   +0.0246   +0.0116     -7.29    -0.53    11.84   1.2877    10.15
2023      naive    250  -0.0197   -0.0168   -0.0191   -0.0127    -17.36    -1.02    20.12   1.1120     8.86
2024      model    252  +0.0297   +0.0251   +0.0208   +0.0512    +11.12    +0.83    13.99   1.2270    11.58
2024      naive    252  -0.0355   -0.0294   -0.0121   -0.0210    -54.57    -3.45    57.70   1.1845    10.45
overall   model   1258  +0.0219   +0.0193   +0.0202   +0.0203    +44.61    +0.52    18.74   1.3210    68.91
overall   naive   1258  -0.0237   -0.0256   -0.0203   -0.0241   -197.34    -1.68   179.63   1.1026    55.30
# model overall: pearson IC +0.0219 (SE 0.0056, t +3.90); rank IC +0.0193 (SE 0.0053, t +3.62); rebalances 1199, avg holding 1.0 days
# naive overall: pearson IC -0.0237 (SE 0.0073, t -3.24); rank IC -0.0256 (SE 0.0069, t -3.73); rebalances 876, avg holding 1.4 days
# rank IC by horizon (model): h=1:+0.0193  h=2:+0.0195  h=3:+0.0216  h=4:+0.0194  h=5:+0.0202  h=6:+0.0220  h=7:+0.0201  h=8:+0.0212  h=9:+0.0201  h=10:+0.0203
# rank IC by horizon (naive): h=1:-0.0256  h=2:-0.0201  h=3:-0.0195  h=4:-0.0208  h=5:-0.0203  h=6:-0.0254  h=7:-0.0232  h=8:-0.0237  h=9:-0.0243  h=10:-0.0241
# control1_random_arch/ensemble
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0298   +0.0264   +0.0464   +0.0573    +27.51    +0.95    15.23   1.4685    19.32
2020      naive    253  -0.0196   -0.0245   -0.0332   -0.0410    -87.00    -2.36    89.53   1.0771    13.49
2021      model    252  +0.0351   +0.0396   +0.0326   +0.0329    +16.01    +0.98    18.05   1.4613    17.04
2021      naive    252  -0.0320   -0.0428   -0.0149   -0.0194    -29.20    -1.48    35.51   1.2437    13.98
2022      model    251  +0.0168   +0.0127   +0.0201   +0.0191     -3.53    -0.19    31.35   1.4433    13.99
2022      naive    251  -0.0114   -0.0147   -0.0220   -0.0262     -9.21    -0.42    28.75   0.8953     8.52
