$ /Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/control2_fixed_ensemble.py --panel /Users/jonathanchang/.claude/jobs/fc17658e/tmp/set4_v2 --seed 44 --out-dir /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/results_controls/control2/set4_v2_seed44 --config {"cell": "rnn", "hidden": 16, "lr": 0.001}
# realized: sidecar (RET_raw (sidecar)), trained on RET_CS; panel header (8) ['RET', 'VOL_CHANGE', 'BA_SPREAD', 'ILLIQUIDITY', 'sprtrn', 'TURNOVER', 'RET_CS', 'RET_CS_Z']
# model inputs (8): ['RET', 'VOL_CHANGE', 'BA_SPREAD', 'ILLIQUIDITY', 'sprtrn', 'TURNOVER', 'RET_CS', 'RET_CS_Z']
# 8 identical members, arch {"cell": "rnn", "hidden": 16, "lr": 0.001, "rec_density": 1.0}, seeds [44000, 44001, 44002, 44003, 44004, 44005, 44006, 44007]
# warmup wake 1/1052 (2004-02-09)  0s
# warmup wake 101/1052 (2006-02-02)  45s
# warmup wake 201/1052 (2008-02-01)  97s
# warmup wake 301/1052 (2010-01-27)  146s
# warmup wake 401/1052 (2012-01-20)  191s
# warmup wake 501/1052 (2014-01-16)  235s
# warmup wake 601/1052 (2016-01-12)  281s
# warmup wake 701/1052 (2018-01-05)  335s
# scored wake 801/1052 (2020-01-02) champion=m2  385s
# scored wake 821/1052 (2020-05-27) champion=m4  400s
# scored wake 841/1052 (2020-10-16) champion=m1  415s
# scored wake 861/1052 (2021-03-15) champion=m5  430s
# scored wake 881/1052 (2021-08-05) champion=m2  445s
# scored wake 901/1052 (2021-12-28) champion=m4  460s
# scored wake 921/1052 (2022-05-20) champion=m1  477s
# scored wake 941/1052 (2022-10-13) champion=m1  491s
# scored wake 961/1052 (2023-03-09) champion=m6  508s
# scored wake 981/1052 (2023-08-02) champion=m7  525s
# scored wake 1001/1052 (2023-12-22) champion=m7  540s
# scored wake 1021/1052 (2024-05-17) champion=m3  555s
# scored wake 1041/1052 (2024-10-10) champion=m4  569s
# control2_fixed_ensemble/single
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    252  +0.0193   +0.0171   +0.0047   +0.0016     +1.53    +0.08    23.56   1.4335    16.95
2020      naive    252  -0.0038   -0.0120   -0.0293   -0.0336    -65.37    -2.24    67.74   0.9763    11.39
2021      model    252  +0.0275   +0.0217   +0.0354   +0.0328     +4.69    +0.37    12.73   1.3982    15.29
2021      naive    252  -0.0253   -0.0254   -0.0289   -0.0223    -18.02    -1.21    20.40   1.2013    12.32
2022      model    251  +0.0189   +0.0202   +0.0086   +0.0114    -15.38    -1.11    18.29   1.3843    12.99
2022      naive    251  -0.0163   -0.0265   -0.0208   -0.0191     -0.27    -0.02    19.50   0.9166     8.08
2023      model    250  +0.0153   +0.0120   +0.0223   +0.0286     +2.27    +0.20    12.15   1.4362    10.85
2023      naive    250  -0.0290   -0.0331   -0.0329   -0.0191    -45.98    -3.16    47.22   1.1347     7.93
2024      model    252  -0.0042   +0.0106   -0.0032   +0.0110     -9.44    -0.96    13.65   1.4136    11.56
2024      naive    252  -0.0222   -0.0250   -0.0135   -0.0199    -25.76    -2.22    28.52   1.2628     9.76
overall   model   1257  +0.0154   +0.0163   +0.0136   +0.0171    -16.34    -0.24    24.79   1.4132    67.64
overall   naive   1257  -0.0193   -0.0244   -0.0251   -0.0228   -155.40    -1.66   151.61   1.0984    49.48
# model overall: pearson IC +0.0154 (SE 0.0052, t +2.94); rank IC +0.0163 (SE 0.0048, t +3.40); rebalances 1227, avg holding 1.0 days
# naive overall: pearson IC -0.0193 (SE 0.0069, t -2.81); rank IC -0.0244 (SE 0.0067, t -3.65); rebalances 870, avg holding 1.4 days
# rank IC by horizon (model): h=1:+0.0163  h=2:+0.0129  h=3:+0.0145  h=4:+0.0122  h=5:+0.0136  h=6:+0.0177  h=7:+0.0173  h=8:+0.0176  h=9:+0.0197  h=10:+0.0171
# rank IC by horizon (naive): h=1:-0.0244  h=2:-0.0264  h=3:-0.0293  h=4:-0.0276  h=5:-0.0251  h=6:-0.0262  h=7:-0.0232  h=8:-0.0235  h=9:-0.0226  h=10:-0.0228
# control2_fixed_ensemble/ensemble
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    252  +0.0299   +0.0247   +0.0178   +0.0225    +30.99    +1.28    14.31   1.4251    16.48
2020      naive    252  -0.0038   -0.0120   -0.0293   -0.0336    -65.37    -2.24    67.74   0.9763    11.39
2021      model    252  +0.0134   +0.0116   +0.0249   +0.0261     -9.88    -0.77    19.73   1.3927    14.68
2021      naive    252  -0.0253   -0.0254   -0.0289   -0.0223    -18.02    -1.21    20.40   1.2013    12.32
