$ /Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/control2_fixed_ensemble.py --panel /Users/jonathanchang/.claude/jobs/fc17658e/tmp/set1_v2 --seed 44 --out-dir /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/results_controls/control2/set1_v2_seed44 --config {"cell": "rnn", "hidden": 8, "lr": 0.003}
# realized: sidecar (RET_raw (sidecar)), trained on RET_CS; panel header (8) ['RET', 'VOL_CHANGE', 'BA_SPREAD', 'ILLIQUIDITY', 'sprtrn', 'TURNOVER', 'RET_CS', 'RET_CS_Z']
# model inputs (8): ['RET', 'VOL_CHANGE', 'BA_SPREAD', 'ILLIQUIDITY', 'sprtrn', 'TURNOVER', 'RET_CS', 'RET_CS_Z']
# 8 identical members, arch {"cell": "rnn", "hidden": 8, "lr": 0.003, "rec_density": 1.0}, seeds [44000, 44001, 44002, 44003, 44004, 44005, 44006, 44007]
# warmup wake 1/1026 (2004-08-16)  0s
# warmup wake 101/1026 (2006-08-09)  72s
# warmup wake 201/1026 (2008-08-05)  144s
# warmup wake 301/1026 (2010-07-30)  218s
# warmup wake 401/1026 (2012-07-24)  296s
# warmup wake 501/1026 (2014-07-22)  371s
# warmup wake 601/1026 (2016-07-15)  440s
# warmup wake 701/1026 (2018-07-11)  514s
# scored wake 781/1026 (2020-02-12) champion=m0  573s
# scored wake 801/1026 (2020-07-07) champion=m3  590s
# scored wake 821/1026 (2020-11-25) champion=m0  608s
# scored wake 841/1026 (2021-04-22) champion=m1  626s
# scored wake 861/1026 (2021-09-14) champion=m7  644s
# scored wake 881/1026 (2022-02-04) champion=m0  664s
# scored wake 901/1026 (2022-06-30) champion=m6  685s
# scored wake 921/1026 (2022-11-21) champion=m3  704s
# scored wake 941/1026 (2023-04-18) champion=m1  722s
# scored wake 961/1026 (2023-09-11) champion=m3  740s
# scored wake 981/1026 (2024-02-02) champion=m5  758s
# scored wake 1001/1026 (2024-06-27) champion=m3  779s
# scored wake 1021/1026 (2024-11-18) champion=m2  796s
# control2_fixed_ensemble/single
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0119   +0.0001   +0.0026   +0.0048     +8.33    +0.35    22.33   1.3061    16.14
2020      naive    253  -0.0029   -0.0082   -0.0170   -0.0165     -7.89    -0.25    34.21   1.0411    12.43
2021      model    252  +0.0153   +0.0205   +0.0122   +0.0107    +13.78    +0.89     7.61   1.4071    15.08
2021      naive    252  -0.0203   -0.0272   -0.0121   -0.0209    -21.88    -0.92    36.66   1.3312    13.43
2022      model    251  +0.0142   +0.0099   +0.0333   +0.0311     +8.52    +0.51    12.17   1.2350    10.86
2022      naive    251  +0.0032   +0.0017   -0.0131   -0.0086    -22.44    -0.98    27.85   1.0082     8.46
2023      model    250  -0.0075   +0.0049   +0.0101   +0.0192    -13.67    -0.99    23.37   1.2861     8.78
2023      naive    250  -0.0206   -0.0210   -0.0171   -0.0176    -11.85    -0.65    18.04   1.1705     7.81
2024      model    252  +0.0210   +0.0125   -0.0033   -0.0087     -0.63    -0.04    12.99   1.3504    11.00
2024      naive    252  -0.0453   -0.0328   -0.0234   -0.0149    -31.98    -1.65    38.13   1.2810    10.19
overall   model   1258  +0.0110   +0.0096   +0.0110   +0.0115    +16.33    +0.19    22.33   1.3170    61.85
overall   naive   1258  -0.0172   -0.0175   -0.0165   -0.0157    -96.04    -0.81    98.93   1.1664    52.32
# model overall: pearson IC +0.0110 (SE 0.0054, t +2.05); rank IC +0.0096 (SE 0.0051, t +1.87); rebalances 1132, avg holding 1.1 days
# naive overall: pearson IC -0.0172 (SE 0.0075, t -2.28); rank IC -0.0175 (SE 0.0072, t -2.44); rebalances 939, avg holding 1.3 days
# rank IC by horizon (model): h=1:+0.0096  h=2:+0.0067  h=3:+0.0090  h=4:+0.0092  h=5:+0.0110  h=6:+0.0093  h=7:+0.0117  h=8:+0.0133  h=9:+0.0111  h=10:+0.0115
# rank IC by horizon (naive): h=1:-0.0175  h=2:-0.0104  h=3:-0.0135  h=4:-0.0152  h=5:-0.0165  h=6:-0.0129  h=7:-0.0158  h=8:-0.0165  h=9:-0.0174  h=10:-0.0157
# control2_fixed_ensemble/ensemble
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0087   +0.0029   +0.0234   +0.0230    -21.73    -0.74    42.05   1.3768    16.95
2020      naive    253  -0.0029   -0.0082   -0.0170   -0.0165     -7.89    -0.25    34.21   1.0411    12.43
2021      model    252  +0.0190   +0.0181   +0.0163   +0.0153     +0.82    +0.06    13.94   1.4129    14.71
2021      naive    252  -0.0203   -0.0272   -0.0121   -0.0209    -21.88    -0.92    36.66   1.3312    13.43
2022      model    251  -0.0049   -0.0019   +0.0190   +0.0174    -25.55    -1.50    33.03   1.4291    12.40
2022      naive    251  +0.0032   +0.0017   -0.0131   -0.0086    -22.44    -0.98    27.85   1.0082     8.46
2023      model    250  +0.0002   +0.0042   +0.0103   +0.0174    -19.35    -1.31    20.44   1.3846     9.34
2023      naive    250  -0.0206   -0.0210   -0.0171   -0.0176    -11.85    -0.65    18.04   1.1705     7.81
2024      model    252  +0.0292   +0.0228   +0.0206   +0.0107    +25.71    +1.68     9.40   1.4130    11.63
2024      naive    252  -0.0453   -0.0328   -0.0234   -0.0149    -31.98    -1.65    38.13   1.2810    10.19
overall   model   1258  +0.0105   +0.0092   +0.0179   +0.0168    -40.10    -0.42    73.46   1.4033    65.03
overall   naive   1258  -0.0172   -0.0175   -0.0165   -0.0157    -96.04    -0.81    98.93   1.1664    52.32
# model overall: pearson IC +0.0105 (SE 0.0056, t +1.88); rank IC +0.0092 (SE 0.0056, t +1.64); rebalances 1258, avg holding 1.0 days
# naive overall: pearson IC -0.0172 (SE 0.0075, t -2.28); rank IC -0.0175 (SE 0.0072, t -2.44); rebalances 939, avg holding 1.3 days
# rank IC by horizon (model): h=1:+0.0092  h=2:+0.0048  h=3:+0.0116  h=4:+0.0145  h=5:+0.0179  h=6:+0.0168  h=7:+0.0188  h=8:+0.0198  h=9:+0.0188  h=10:+0.0168
# rank IC by horizon (naive): h=1:-0.0175  h=2:-0.0104  h=3:-0.0135  h=4:-0.0152  h=5:-0.0165  h=6:-0.0129  h=7:-0.0158  h=8:-0.0165  h=9:-0.0174  h=10:-0.0157
# control2: tune 1.9s, fit 800.2s, total 814.9s, wrote /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/results_controls/control2/set1_v2_seed44
